f,s,t,fou
456,473,481,481
375,395,532,532
379,378,403,403
536,535,537,537
647,543,734,734
444,446,996,996
968,307,1047,1047
302,293,303,303
416,363,1013,1013
753,839,840,840
415,302,967,967
726,812,813,813
1010,1154,1217,1217
984,983,1027,1027
627,537,628,628
475,457,992,992
1047,311,1048,1048
998,997,999,999
334,332,378,378
1215,1011,1217,1217
375,532,1092,1092
379,403,404,404
169,923,924,924
647,734,811,811
234,231,1065,1065
432,431,490,490
775,752,846,846
477,476,582,582
416,1013,1089,1089
645,467,1299,1299
365,363,416,416
59,58,141,141
1078,1068,1095,1095
999,1231,1232,1232
756,758,956,956
93,94,965,965
126,127,966,966
602,601,753,753
532,940,1092,1092
375,374,386,386
702,728,1029,1029
730,1004,1120,1120
29,30,1021,1021
1010,249,1154,1154
260,289,555,555
639,684,1032,1032
367,370,1092,1092
490,491,570,570
413,404,476,476
61,174,1034,1034
805,652,1031,1031
752,674,850,850
532,533,534,534
403,480,982,982
628,537,674,674
307,306,308,308
535,533,538,538
757,858,859,859
820,1333,1334,1334
773,613,1052,1052
674,537,1093,1093
340,339,341,341
454,455,456,456
365,430,1051,1051
530,528,730,730
95,96,972,972
128,129,973,973
851,674,1093,1093
736,733,746,746
311,312,1049,1049
436,1110,1119,1119
304,306,307,307
665,1041,1042,1042
703,415,706,706
753,601,839,839
288,287,292,292
330,326,1033,1033
413,476,477,477
530,730,989,989
251,249,1010,1010
337,1010,1011,1011
426,987,1025,1025
308,311,1047,1047
535,538,1093,1093
430,431,432,432
384,444,1000,1000
996,997,998,998
1082,177,1314,1314
1048,311,1049,1049
487,479,581,581
707,491,1089,1089
804,652,805,805
1270,727,1290,1290
433,493,1084,1084
308,309,310,310
1002,1078,1095,1095
534,535,536,536
337,251,1010,1010
342,341,343,343
631,1058,1059,1059
585,540,1083,1083
600,601,602,602
342,343,345,345
272,328,1036,1036
1112,783,1279,1279
340,341,342,342
428,429,463,463
831,756,956,956
698,626,1056,1056
338,337,339,339
490,431,491,491
403,419,480,480
314,313,1046,1046
257,251,337,337
491,431,1089,1089
412,404,413,413
432,490,528,528
570,625,626,626
646,547,787,787
648,735,806,806
26,27,147,147
799,787,936,936
338,339,340,340
308,306,309,309
738,415,967,967
712,1037,1038,1038
536,537,627,627
446,466,467,467
581,479,1007,1007
943,857,944,944
284,285,286,286
247,557,1066,1066
480,701,702,702
685,613,773,773
311,310,312,312
333,1172,1176,1176
281,283,284,284
628,752,775,775
365,416,430,430
1052,769,1053,1053
479,477,1007,1007
297,334,983,983
239,237,435,435
692,737,1056,1056
712,595,1037,1037
753,840,841,841
28,175,1015,1015
775,846,882,882
195,196,197,197
570,491,625,625
312,313,314,314
630,619,631,631
341,339,489,489
617,604,618,618
626,691,692,692
528,490,1003,1003
730,528,1003,1003
308,310,311,311
1048,1049,1050,1050
617,618,619,619
307,308,1047,1047
1016,175,1017,1017
318,317,709,709
355,357,792,792
444,996,1000,1000
312,310,313,313
464,511,717,717
330,1033,1070,1070
482,406,483,483
915,913,917,917
570,626,698,698
794,591,1057,1057
493,637,1084,1084
512,810,1028,1028
345,343,346,346
769,739,874,874
1130,792,1140,1140
677,751,768,768
665,516,1067,1067
461,401,1057,1057
316,317,318,318
268,270,1073,1073
389,372,1070,1070
591,461,1057,1057
508,471,1035,1035
266,397,1071,1071
609,769,1052,1052
345,346,347,347
315,314,316,316
244,247,1066,1066
301,415,703,703
791,1020,1177,1177
720,545,721,721
761,833,1062,1062
1072,319,1116,1116
442,623,1069,1069
61,60,174,174
262,258,488,488
623,711,1069,1069
316,314,317,317
297,298,332,332
639,641,684,684
506,715,1035,1035
685,773,875,875
1110,893,1119,1119
737,780,960,960
326,325,1033,1033
733,578,1270,1270
618,604,1006,1006
832,754,861,861
347,348,376,376
57,56,912,912
626,625,691,691
717,511,1127,1127
1004,1005,1292,1292
421,322,1090,1090
372,330,1070,1070
850,851,852,852
286,285,287,287
531,530,543,543
594,508,671,671
481,583,1196,1196
177,1082,1315,1315
408,396,471,471
609,564,739,739
631,619,1058,1058
392,470,1068,1068
699,894,1060,1060
783,1275,1279,1279
444,445,446,446
513,514,666,666
637,639,1032,1032
626,692,1056,1056
322,323,324,324
377,376,396,396
604,602,1006,1006
398,1068,1078,1078
516,469,1067,1067
324,323,325,325
435,237,1065,1065
348,349,350,350
1169,271,1241,1241
859,860,879,879
506,513,715,715
1172,789,1176,1176
320,318,1063,1063
322,320,323,323
619,618,1058,1058
312,314,315,315
582,476,1030,1030
480,705,982,982
1216,557,1222,1222
278,280,281,281
379,404,412,412
319,318,320,320
467,512,1028,1028
603,602,604,604
526,524,584,584
692,694,737,737
924,926,927,927
347,346,348,348
27,28,1015,1015
316,319,1072,1072
544,543,647,647
800,799,1088,1088
673,591,794,794
668,1043,1044,1044
656,808,809,809
512,675,810,810
712,1039,1067,1067
325,790,1033,1033
28,29,175,175
609,739,769,769
289,290,297,297
737,694,780,780
270,1036,1073,1073
350,349,351,351
426,427,428,428
329,330,371,371
797,1216,1222,1222
325,420,790,790
471,506,1035,1035
321,320,322,322
324,325,326,326
343,1157,1166,1166
329,326,330,330
692,693,694,694
506,507,513,513
778,710,791,791
976,721,977,977
321,322,421,421
388,392,1068,1068
315,316,1072,1072
622,435,710,710
327,326,329,329
616,604,617,617
272,274,328,328
692,691,693,693
347,376,377,377
270,272,1036,1036
348,350,1045,1045
423,421,1074,1074
408,471,508,508
319,320,321,321
63,151,1086,1086
293,292,1100,1100
371,330,372,372
755,857,943,943
387,372,388,388
620,619,630,630
672,822,827,827
417,741,1079,1079
637,1032,1084,1084
377,396,408,408
703,706,878,878
244,246,247,247
774,630,785,785
653,689,1077,1077
255,260,1219,1219
195,197,892,892
257,337,338,338
264,1071,1174,1174
595,672,1037,1037
151,62,1034,1034
699,700,894,894
791,710,1020,1020
763,585,1083,1083
204,207,1075,1075
425,552,553,553
62,61,1034,1034
776,719,783,783
402,462,1111,1111
371,372,387,387
696,776,1151,1151
440,442,1069,1069
623,624,699,699
376,348,1045,1045
370,375,1092,1092
442,495,623,623
316,318,319,319
553,552,554,554
712,1038,1039,1039
792,357,905,905
64,63,1086,1086
709,317,779,779
422,421,423,423
529,528,530,530
348,346,349,349
398,388,1068,1068
355,792,1130,1130
425,423,552,552
471,472,506,506
242,244,1066,1066
436,437,438,438
266,268,397,397
387,388,398,398
470,469,516,516
478,477,479,479
622,710,778,778
653,654,689,689
696,627,719,719
711,699,1060,1060
450,452,454,454
159,65,1087,1087
264,266,1071,1071
392,409,469,469
424,423,425,425
201,203,436,436
553,554,580,580
405,391,406,406
699,624,700,700
623,495,624,624
518,595,712,712
778,791,941,941
399,398,496,496
520,496,653,653
53,52,1064,1064
260,261,289,289
388,389,392,392
54,53,140,140
894,700,895,895
327,329,331,331
325,323,420,420
392,469,470,470
621,435,622,622
247,246,252,252
324,326,327,327
469,409,518,518
436,203,437,437
403,378,419,419
469,518,1067,1067
689,742,815,815
197,196,198,198
239,435,621,621
679,653,1077,1077
653,496,654,654
556,440,1069,1069
470,516,517,517
971,1215,1217,1217
689,654,742,742
1039,1038,1040,1040
1123,696,1151,1151
296,1148,1206,1206
422,423,424,424
438,440,556,556
662,578,733,733
255,256,260,260
608,580,682,682
392,389,409,409
486,479,487,487
64,1086,1087,1087
518,712,1067,1067
672,827,1037,1037
1068,470,1095,1095
517,516,598,598
624,495,1107,1107
892,197,893,893
746,1290,1310,1310
870,624,1107,1107
321,421,422,422
496,398,1078,1078
431,416,1089,1089
623,699,711,711
388,372,389,389
682,816,817,817
682,580,816,816
399,496,520,520
356,354,1131,1131
438,439,440,440
991,743,1076,1076
743,661,1081,1081
471,396,472,472
384,394,444,444
520,653,679,679
553,580,608,608
517,598,661,661
411,410,501,501
554,552,788,788
